SRZ187420_S0228.ffn	SRR5788467
SRZ187421_S0229.ffn	SRR5788468
SRZ187422_S0231.ffn	SRR5788465
SRZ187423_S0232.ffn	SRR5788466
SRZ187424_S0233.ffn	SRR5788463
SRZ187425_S0234.ffn	SRR5788464
SRZ187426_S0235.ffn	SRR5788338
SRZ187427_S0236.ffn	SRR5788337
SRZ187428_S0237.ffn	SRR5788336
SRZ187429_S0238.ffn	SRR5788335
SRZ187430_S0239.ffn	SRR5788342
SRZ187431_S0240.ffn	SRR5788341
SRZ187432_S0241.ffn	SRR5788340
SRZ187433_S0242.ffn	SRR5788339
SRZ187434_S0243.ffn	SRR5788344
SRZ187435_S0244.ffn	SRR5788343
SRZ187436_S0245.ffn	SRR5788172
SRZ187437_S0246.ffn	SRR5788173
SRZ187438_S0247.ffn	SRR5788174
SRZ187439_S0248.ffn	SRR5788175
SRZ187440_S0249.ffn	SRR5788168
SRZ187441_S0250.ffn	SRR5788169
SRZ187442_S0252.ffn	SRR5788170
SRZ187443_S0253.ffn	SRR5788171
SRZ187444_S0254.ffn	SRR5788176
SRZ187445_S0255.ffn	SRR5788177
SRZ187446_S0256.ffn	SRR5788149
SRZ187447_S0257.ffn	SRR5788148
SRZ187448_S0258.ffn	SRR5788151
SRZ187449_S0259.ffn	SRR5788150
SRZ187450_S0260.ffn	SRR5788153
SRZ187451_S0261.ffn	SRR5788152
SRZ187452_S0262.ffn	SRR5788155
SRZ187453_S0263.ffn	SRR5788154
SRZ187454_S0264.ffn	SRR5788157
SRZ187455_S0265.ffn	SRR5788156
SRZ187456_S0266.ffn	SRR5788039
SRZ187457_S0267.ffn	SRR5788040
SRZ187458_S0268.ffn	SRR5788037
SRZ187459_S0269.ffn	SRR5788038
SRZ187460_S0270.ffn	SRR5788043
SRZ187461_S0271.ffn	SRR5788044
SRZ187462_S0272.ffn	SRR5788041
SRZ187463_S0273.ffn	SRR5788042
SRZ187464_S0274.ffn	SRR5788045
SRZ187465_S0275.ffn	SRR5788046
SRZ187466_S0276.ffn	SRR5788403
SRZ187467_S0277.ffn	SRR5788402
SRZ187468_S0278.ffn	SRR5788401
SRZ187469_S0279.ffn	SRR5788400
SRZ187470_S0280.ffn	SRR5788399
SRZ187471_S0281.ffn	SRR5788398
SRZ187472_S0282.ffn	SRR5788397
SRZ187473_S0283.ffn	SRR5788396
SRZ187474_S0284.ffn	SRR5788406
SRZ187475_S0285.ffn	SRR5788405
SRZ187476_S0286.ffn	SRR5788301
SRZ187477_S0287.ffn	SRR5788404
SRZ187478_S0288.ffn	SRR5788265
SRZ187479_S0289.ffn	SRR5788266
SRZ187480_S0290.ffn	SRR5788267
SRZ187481_S0291.ffn	SRR5788268
SRZ187482_S0292.ffn	SRR5788269
SRZ187483_S0293.ffn	SRR5788270
SRZ187484_S0294.ffn	SRR5788387
SRZ187485_S0295.ffn	SRR5788256
SRZ187486_S0296.ffn	SRR5788000
SRZ187487_S0297.ffn	SRR5787999
SRZ187488_S0298.ffn	SRR5788002
SRZ187489_S0299.ffn	SRR5788001
SRZ187490_S0300.ffn	SRR5787996
SRZ187491_S0301.ffn	SRR5787995
SRZ187492_S0302.ffn	SRR5787998
SRZ187493_S0303.ffn	SRR5787997
SRZ187494_S0304.ffn	SRR5788004
SRZ187495_S0305.ffn	SRR5788003
SRZ187496_S0306.ffn	SRR5788361
SRZ187497_S0307.ffn	SRR5788362
SRZ187498_S0308.ffn	SRR5788359
SRZ187499_S0309.ffn	SRR5788360
SRZ187500_S0310.ffn	SRR5788357
SRZ187501_S0311.ffn	SRR5788358
SRZ187502_S0312.ffn	SRR5788355
SRZ187503_S0313.ffn	SRR5788356
SRZ187504_S0314.ffn	SRR5788363
SRZ187505_S0315.ffn	SRR5788364
SRZ187506_S0316.ffn	SRR5788275
SRZ187507_S0317.ffn	SRR5788276
SRZ187508_S0318.ffn	SRR5788277
SRZ187509_S0319.ffn	SRR5788278
SRZ187510_S0320.ffn	SRR5788271
SRZ187511_S0321.ffn	SRR5788272
SRZ187512_S0322.ffn	SRR5788273
SRZ187513_S0323.ffn	SRR5788274
SRZ187514_S0324.ffn	SRR5788279
SRZ187515_S0325.ffn	SRR5788280
SRZ187516_S0326.ffn	SRR5788418
SRZ187517_S0331.ffn	SRR5788417
SRZ187518_S0332.ffn	SRR5788416
SRZ187519_S0333.ffn	SRR5788415
SRZ187520_S0334.ffn	SRR5788422
SRZ187521_S0335.ffn	SRR5788421
SRZ187522_S0336.ffn	SRR5788420
SRZ187523_S0337.ffn	SRR5788419
SRZ187524_S0338.ffn	SRR5788424
SRZ187525_S0339.ffn	SRR5788423
SRZ187526_S0340.ffn	SRR5788057
