Run,Sample
ERR1726573,ERS490832
ERR1726901,ERS491153
ERR1726797,ERS493205
ERR1726968,ERS491157
ERR1726812,ERS491168
ERR1726669,ERS493660
ERR1726619,ERS493768
ERR1726566,ERS492124
ERR1726580,ERS493324
ERR1726543,ERS491520
ERR1726750,ERS493530
ERR1726680,ERS493568
ERR1726862,ERS488980
ERR1726633,ERS489142
ERR1726974,ERS489252
ERR1726671,ERS489509
ERR1726704,ERS490172
ERR1726733,ERS490752
ERR1726719,ERS491431
ERR1726896,ERS491721
ERR1726631,ERS491923
ERR1726842,ERS492021
ERR1726955,ERS492153
ERR1726760,ERS492184
ERR1726907,ERS492241
ERR1726668,ERS492281
ERR1726584,ERS492366
ERR1726667,ERS492650
ERR1726564,ERS492824
ERR1726569,ERS492824
ERR1726571,ERS492829
ERR1726643,ERS492895
ERR1726846,ERS492895
ERR1726805,ERS493134
ERR1726816,ERS493311
ERR1726570,ERS493351
ERR1726884,ERS493517
ERR1726869,ERS493593
ERR1726676,ERS493952
ERR1726863,ERS494339
ERR1726589,ERS494527
ERR1726761,ERS494658
ERR1726707,ERS494662
ERR1726821,ERS494707
ERR1726838,ERS488567
ERR1726541,ERS491732
ERR1726915,ERS488902
ERR1726956,ERS488342
ERR1726970,ERS491736
ERR1726608,ERS492846
ERR1726610,ERS488596
ERR1726916,ERS492349
ERR1726841,ERS491962
ERR1726624,ERS491866
ERR1726953,ERS488257
ERR1726832,ERS489128
ERR1726883,ERS492658
ERR1726711,ERS488644
ERR1726926,ERS488644
ERR1726787,ERS488506
ERR1726937,ERS490572
ERR1726900,ERS491798
ERR1726695,ERS492909
ERR1726804,ERS489069
ERR1726646,ERS489234
ERR1726630,ERS490294
ERR1726938,ERS492669
ERR1726765,ERS492904
ERR1726601,ERS492852
ERR1726892,ERS492852
ERR1726626,ERS490582
ERR1726965,ERS488356
ERR1726649,ERS489952
ERR1726887,ERS488033
ERR1726936,ERS487994
ERR1726893,ERS494060
ERR1726617,ERS494070
ERR1726729,ERS489289
ERR1726957,ERS493976
ERR1726684,ERS494064
ERR1726885,ERS494191
ERR1726810,ERS488468
ERR1726677,ERS489818
ERR1726615,ERS492528
ERR1726553,ERS494602
ERR1726600,ERS492585
ERR1726532,ERS494720
ERR1726775,ERS492260
